SalesOrderNumber,ProductKey,OrderDateKey,DueDateKey,ShipDateKey,CustomerKey,SalesAmount
SO46751,377,20220107,20220119,20220114,12934,2181.5625
SO46752,343,20220107,20220119,20220114,19931,782.99
SO46753,379,20220107,20220119,20220114,21215,2181.5625
SO46754,321,20220107,20220119,20220114,25958,782.99
SO46755,343,20220107,20220119,20220114,26023,782.99
SO46756,383,20220107,20220119,20220114,13993,1000.4375
SO46757,354,20220108,20220120,20220115,26174,2071.4196
SO46758,387,20220108,20220120,20220115,18130,1000.4375
SO46759,373,20220108,20220120,20220115,16033,2181.5625
SO46760,387,20220108,20220120,20220115,13986,1000.4375
SO46761,325,20220108,20220120,20220115,19924,782.99
SO46762,368,20220108,20220120,20220115,13063,2443.35
SO46763,375,20220108,20220120,20220115,13202,2181.5625
SO46764,360,20220108,20220120,20220115,26238,2049.0982
SO46765,333,20220108,20220120,20220115,15191,782.99
SO46766,369,20220108,20220120,20220115,21216,2443.35
SO46767,362,20220108,20220120,20220115,12573,2049.0982
SO46768,339,20220108,20220120,20220115,26020,782.99
SO46769,377,20220109,20220121,20220116,15702,2181.5625
SO46770,370,20220109,20220121,20220116,15357,2443.35
SO46771,377,20220109,20220121,20220116,13068,2181.5625
SO46772,375,20220109,20220121,20220116,13161,2181.5625
SO46773,371,20220109,20220121,20220116,13173,2181.5625
SO46774,375,20220109,20220121,20220116,13225,2181.5625
SO46775,352,20220109,20220121,20220116,26249,2071.4196
SO46776,360,20220109,20220121,20220116,12356,2049.0982
SO46777,356,20220110,20220122,20220117,11568,2071.4196
SO46778,352,20220110,20220122,20220117,11610,2071.4196
SO46779,377,20220110,20220122,20220117,15929,2181.5625
SO46780,379,20220110,20220122,20220117,12942,2181.5625
SO46781,379,20220110,20220122,20220117,12949,2181.5625
SO46782,371,20220110,20220122,20220117,12975,2181.5625
SO46783,337,20220110,20220122,20220117,19069,782.99
SO46784,375,20220110,20220122,20220117,13178,2181.5625
SO46785,373,20220110,20220122,20220117,13190,2181.5625
SO46786,354,20220110,20220122,20220117,26201,2071.4196
SO46787,333,20220110,20220122,20220117,15195,782.99
SO46788,358,20220110,20220122,20220117,12342,2049.0982
SO46789,358,20220111,20220123,20220118,28506,2049.0982
SO46790,379,20220111,20220123,20220118,12930,2181.5625
SO46791,369,20220111,20220123,20220118,13016,2443.35
SO46792,373,20220111,20220123,20220118,13083,2181.5625
SO46793,375,20220111,20220123,20220118,13214,2181.5625
SO46794,373,20220111,20220123,20220118,24977,2181.5625
SO46795,362,20220111,20220123,20220118,26234,2049.0982
SO46796,360,20220111,20220123,20220118,26247,2049.0982
SO46797,371,20220111,20220123,20220118,21197,2181.5625
SO46798,368,20220111,20220123,20220118,21201,2443.35
SO46799,371,20220112,20220124,20220119,13662,2181.5625
SO46800,370,20220112,20220124,20220119,13019,2443.35
SO46801,368,20220112,20220124,20220119,25094,2443.35
SO46802,337,20220112,20220124,20220119,15188,782.99
SO46803,379,20220113,20220125,20220120,13595,2181.5625
SO46804,323,20220113,20220125,20220120,19052,782.99
SO46805,373,20220113,20220125,20220120,13055,2181.5625
SO46806,370,20220113,20220125,20220120,21195,2443.35
SO46807,354,20220113,20220125,20220120,12339,2071.4196
SO46808,360,20220113,20220125,20220120,12347,2049.0982
SO46809,371,20220114,20220126,20220121,13766,2181.5625
SO46810,370,20220114,20220126,20220121,15622,2443.35
SO46811,369,20220114,20220126,20220121,12941,2443.35
SO46812,371,20220114,20220126,20220121,13069,2181.5625
SO46813,379,20220114,20220126,20220121,13152,2181.5625
SO46814,371,20220114,20220126,20220121,13165,2181.5625
SO46815,375,20220114,20220126,20220121,25093,2181.5625
SO46816,370,20220114,20220126,20220121,13230,2443.35
SO46817,356,20220114,20220126,20220121,26121,2071.4196
SO46818,369,20220114,20220126,20220121,21211,2443.35
SO46819,368,20220114,20220126,20220121,21001,2443.35
SO46820,352,20220115,20220127,20220122,28510,2071.4196
SO46821,377,20220115,20220127,20220122,24824,2181.5625
SO46822,325,20220115,20220127,20220122,15155,782.99
SO46823,323,20220115,20220127,20220122,15193,782.99
SO46824,385,20220115,20220127,20220122,24608,1000.4375
SO46825,354,20220115,20220127,20220122,12574,2071.4196
SO46826,360,20220115,20220127,20220122,12575,2049.0982
SO46827,373,20220116,20220128,20220123,13799,2181.5625
SO46828,385,20220116,20220128,20220123,13990,1000.4375
SO46829,369,20220116,20220128,20220123,24786,2443.35
SO46830,337,20220116,20220128,20220123,19910,782.99
SO46831,369,20220116,20220128,20220123,13066,2443.35
SO46832,352,20220116,20220128,20220123,20188,2071.4196
SO46833,354,20220116,20220128,20220123,12360,2071.4196
SO46834,379,20220116,20220128,20220123,12923,2181.5625
SO46835,371,20220117,20220129,20220124,13768,2181.5625
SO46836,377,20220117,20220129,20220124,13769,2181.5625
SO46837,381,20220117,20220129,20220124,14003,1000.4375
SO46838,375,20220117,20220129,20220124,12922,2181.5625
SO46839,375,20220117,20220129,20220124,24817,2181.5625
SO46840,369,20220117,20220129,20220124,13058,2443.35
SO46841,371,20220117,20220129,20220124,13174,2181.5625
SO46842,321,20220117,20220129,20220124,15166,782.99
SO46843,375,20220117,20220129,20220124,21168,2181.5625
SO46844,358,20220117,20220129,20220124,12343,2049.0982
SO46845,358,20220118,20220130,20220125,11603,2049.0982
SO46846,373,20220118,20220130,20220125,13575,2181.5625
SO46847,371,20220118,20220130,20220125,13793,2181.5625
SO46848,371,20220118,20220130,20220125,16201,2181.5625
SO46849,370,20220118,20220130,20220125,24960,2443.35
SO46850,370,20220118,20220130,20220125,13221,2443.35
SO46851,360,20220118,20220130,20220125,20209,2049.0982
SO46852,333,20220118,20220130,20220125,15194,782.99
SO46853,368,20220118,20220130,20220125,21192,2443.35
SO46854,375,20220118,20220130,20220125,20997,2181.5625
SO46855,379,20220119,20220131,20220126,15117,2181.5625
SO46856,370,20220119,20220131,20220126,12935,2443.35
SO46857,371,20220119,20220131,20220126,13064,2181.5625
SO46858,370,20220119,20220131,20220126,13067,2443.35
SO46859,370,20220119,20220131,20220126,13205,2443.35
SO46860,371,20220119,20220131,20220126,21180,2181.5625
SO46861,377,20220119,20220131,20220126,21214,2181.5625
SO46862,362,20220120,20220201,20220127,11550,2049.0982
SO46863,362,20220120,20220201,20220127,11575,2049.0982
SO46864,373,20220120,20220201,20220127,16045,2181.5625
SO46865,375,20220120,20220201,20220127,15456,2181.5625
SO46866,369,20220120,20220201,20220127,12981,2443.35
SO46867,377,20220120,20220201,20220127,13029,2181.5625
SO46868,369,20220120,20220201,20220127,13189,2443.35
SO46869,379,20220121,20220202,20220128,13577,2181.5625
SO46870,368,20220121,20220202,20220128,13605,2443.35
SO46871,370,20220121,20220202,20220128,13800,2443.35
SO46872,385,20220121,20220202,20220128,19186,1000.4375
SO46873,377,20220121,20220202,20220128,21167,2181.5625
SO46874,381,20220121,20220202,20220128,24606,1000.4375
SO46875,362,20220122,20220203,20220129,11470,2049.0982
SO46876,375,20220122,20220203,20220129,15084,2181.5625
SO46877,370,20220122,20220203,20220129,12926,2443.35
SO46878,369,20220122,20220203,20220129,25061,2443.35
SO46879,379,20220122,20220203,20220129,13224,2181.5625
SO46880,335,20220122,20220203,20220129,15167,782.99
SO46881,354,20220122,20220203,20220129,12572,2071.4196
SO46882,343,20220122,20220203,20220129,25960,782.99
SO46883,352,20220122,20220203,20220129,26241,2071.4196
SO46884,368,20220123,20220204,20220130,13565,2443.35
SO46885,373,20220123,20220204,20220130,15933,2181.5625
SO46886,377,20220123,20220204,20220130,28669,2181.5625
SO46887,362,20220123,20220204,20220130,12340,2049.0982
SO46888,325,20220123,20220204,20220130,26021,782.99
SO46889,383,20220124,20220205,20220131,19173,1000.4375
SO46890,368,20220124,20220205,20220131,12921,2443.35
SO46891,325,20220124,20220205,20220131,20592,782.99
SO46892,370,20220124,20220205,20220131,13086,2443.35
SO46893,369,20220124,20220205,20220131,28659,2443.35
SO46894,356,20220124,20220205,20220131,26120,2071.4196
SO46895,354,20220124,20220205,20220131,26183,2071.4196
SO46896,333,20220124,20220205,20220131,15189,782.99
SO46897,368,20220124,20220205,20220131,21179,2443.35
SO46898,369,20220124,20220205,20220131,21205,2443.35
SO46899,381,20220125,20220206,20220201,13999,1000.4375
SO46900,375,20220125,20220206,20220201,21194,2181.5625
SO46901,375,20220125,20220206,20220201,21203,2181.5625
SO46902,375,20220125,20220206,20220201,21000,2181.5625
SO46903,354,20220125,20220206,20220201,12353,2071.4196
SO46904,387,20220126,20220207,20220202,17080,1000.4375
SO46905,375,20220126,20220207,20220202,16053,2181.5625
SO46906,368,20220126,20220207,20220202,12950,2443.35
SO46907,368,20220126,20220207,20220202,13087,2443.35
SO46908,370,20220126,20220207,20220202,21189,2443.35
SO46909,379,20220126,20220207,20220202,20998,2181.5625
SO46910,331,20220127,20220208,20220203,20710,782.99
SO46911,377,20220127,20220208,20220203,24832,2181.5625
SO46912,377,20220127,20220208,20220203,13177,2181.5625
SO46913,375,20220127,20220208,20220203,13212,2181.5625
SO46914,356,20220127,20220208,20220203,26245,2071.4196
SO46915,362,20220127,20220208,20220203,26276,2049.0982
SO46916,329,20220127,20220208,20220203,15196,782.99
SO46917,371,20220127,20220208,20220203,21202,2181.5625
SO46918,343,20220127,20220208,20220203,26022,782.99
SO46919,362,20220127,20220208,20220203,11481,2049.0982
SO46920,362,20220128,20220209,20220204,11609,2049.0982
SO46921,371,20220128,20220209,20220204,15454,2181.5625
SO46922,368,20220128,20220209,20220204,13088,2443.35
SO46923,369,20220128,20220209,20220204,13176,2443.35
SO46924,375,20220128,20220209,20220204,13203,2181.5625
SO46925,373,20220128,20220209,20220204,21165,2181.5625
SO46926,377,20220128,20220209,20220204,21169,2181.5625
SO46927,362,20220128,20220209,20220204,12348,2049.0982
SO46928,356,20220128,20220209,20220204,12358,2071.4196
SO47068,370,20220129,20220210,20220205,13246,2443.35
SO47069,383,20220129,20220210,20220205,14017,1000.4375
SO47070,387,20220129,20220210,20220205,14025,1000.4375
SO47071,369,20220129,20220210,20220205,15667,2443.35
SO47072,341,20220129,20220210,20220205,20062,782.99
SO47073,369,20220129,20220210,20220205,25287,2443.35
SO47074,362,20220129,20220210,20220205,26293,2049.0982
SO47075,360,20220129,20220210,20220205,12685,2049.0982
SO47076,362,20220129,20220210,20220205,12588,2049.0982
SO47077,369,20220130,20220211,20220206,16329,2443.35
SO47078,375,20220130,20220211,20220206,13248,2181.5625
SO47079,375,20220130,20220211,20220206,13359,2181.5625
SO47080,360,20220130,20220211,20220206,26302,2049.0982
SO47081,341,20220130,20220211,20220206,15203,782.99
SO47082,323,20220130,20220211,20220206,15254,782.99
SO47083,329,20220130,20220211,20220206,15288,782.99
SO47084,370,20220130,20220211,20220206,21561,2443.35
SO47085,379,20220131,20220212,20220207,16311,2181.5625
SO47086,373,20220131,20220212,20220207,13378,2181.5625
SO47087,377,20220131,20220212,20220207,13383,2181.5625
SO47088,369,20220131,20220212,20220207,13274,2443.35
SO47089,341,20220131,20220212,20220207,15284,782.99
SO47090,377,20220131,20220212,20220207,21394,2181.5625
SO47091,354,20220201,20220213,20220208,28532,2071.4196
SO47092,369,20220201,20220213,20220208,28802,2443.35
SO47093,369,20220201,20220213,20220208,13380,2443.35
SO47094,377,20220201,20220213,20220208,15664,2181.5625
SO47095,370,20220201,20220213,20220208,25095,2443.35
SO47096,354,20220201,20220213,20220208,26283,2071.4196
SO47097,370,20220201,20220213,20220208,21257,2443.35
SO47098,360,20220201,20220213,20220208,12667,2049.0982
SO47099,325,20220201,20220213,20220208,26134,782.99
SO47100,360,20220202,20220214,20220209,11612,2049.0982
SO47101,371,20220202,20220214,20220209,16260,2181.5625
SO47102,370,20220202,20220214,20220209,13424,2443.35
SO47103,368,20220202,20220214,20220209,13369,2443.35
SO47104,379,20220202,20220214,20220209,13279,2181.5625
SO47105,371,20220202,20220214,20220209,13319,2181.5625
SO47106,369,20220202,20220214,20220209,25361,2443.35
SO47107,352,20220203,20220215,20220210,11616,2071.4196
SO47108,369,20220203,20220215,20220210,13839,2443.35
SO47109,375,20220203,20220215,20220210,28819,2181.5625
SO47110,370,20220203,20220215,20220210,28850,2443.35
SO47111,369,20220203,20220215,20220210,25100,2443.35
SO47112,356,20220203,20220215,20220210,20318,2071.4196
SO47113,343,20220203,20220215,20220210,15255,782.99
SO47114,373,20220203,20220215,20220210,21387,2181.5625
SO47115,370,20220203,20220215,20220210,21393,2443.35
SO47116,387,20220203,20220215,20220210,24611,1000.4375
SO47117,354,20220203,20220215,20220210,12586,2071.4196
SO47118,362,20220203,20220215,20220210,28541,2049.0982
SO47119,368,20220204,20220216,20220211,16275,2443.35
SO47120,381,20220204,20220216,20220211,14006,1000.4375
SO47121,375,20220204,20220216,20220211,28832,2181.5625
SO47122,371,20220204,20220216,20220211,13362,2181.5625
SO47123,371,20220204,20220216,20220211,25408,2181.5625
SO47124,371,20220204,20220216,20220211,13384,2181.5625
SO47125,375,20220204,20220216,20220211,13325,2181.5625
SO47126,371,20220204,20220216,20220211,13326,2181.5625
SO47127,371,20220204,20220216,20220211,21258,2181.5625
SO47128,368,20220204,20220216,20220211,21556,2443.35
SO47129,352,20220204,20220216,20220211,12677,2071.4196
SO47130,375,20220205,20220217,20220212,16406,2181.5625
SO47131,371,20220205,20220217,20220212,13243,2181.5625
SO47132,375,20220205,20220217,20220212,13283,2181.5625
SO47133,379,20220205,20220217,20220212,13357,2181.5625
SO47134,354,20220205,20220217,20220212,26296,2071.4196
SO47135,343,20220205,20220217,20220212,27027,782.99
SO47136,379,20220205,20220217,20220212,21389,2181.5625
SO47137,371,20220205,20220217,20220212,13348,2181.5625
SO47138,379,20220206,20220218,20220213,16308,2181.5625
SO47139,375,20220206,20220218,20220213,13238,2181.5625
SO47140,356,20220206,20220218,20220213,26290,2071.4196
SO47141,371,20220206,20220218,20220213,21225,2181.5625
SO47142,369,20220206,20220218,20220213,21230,2443.35
SO47143,362,20220206,20220218,20220213,12684,2049.0982
SO47144,343,20220206,20220218,20220213,26033,782.99
SO47145,339,20220206,20220218,20220213,26131,782.99
SO47146,389,20220207,20220219,20220214,18133,1000.4375
SO47147,375,20220207,20220219,20220214,13324,2181.5625
SO47148,377,20220207,20220219,20220214,21259,2181.5625
SO47149,360,20220207,20220219,20220214,12669,2049.0982
SO47150,370,20220208,20220220,20220215,15625,2443.35
SO47151,370,20220208,20220220,20220215,25363,2443.35
SO47152,360,20220208,20220220,20220215,28547,2049.0982
SO47153,321,20220208,20220220,20220215,26024,782.99
SO47154,335,20220208,20220220,20220215,26133,782.99
SO47155,370,20220209,20220221,20220216,13801,2443.35
SO47156,373,20220209,20220221,20220216,28837,2181.5625
SO47157,369,20220209,20220221,20220216,25864,2443.35
SO47158,360,20220209,20220221,20220216,26280,2049.0982
SO47159,362,20220209,20220221,20220216,26300,2049.0982
SO47160,369,20220209,20220221,20220216,21403,2443.35
SO47161,375,20220209,20220221,20220216,21408,2181.5625
SO47162,371,20220209,20220221,20220216,21418,2181.5625
SO47163,362,20220209,20220221,20220216,12671,2049.0982
SO47164,360,20220210,20220222,20220217,12123,2049.0982
SO47165,370,20220210,20220222,20220217,15649,2443.35
SO47166,368,20220210,20220222,20220217,15656,2443.35
SO47167,375,20220210,20220222,20220217,13419,2181.5625
SO47168,377,20220210,20220222,20220217,13286,2181.5625
SO47169,352,20220210,20220222,20220217,26281,2071.4196
SO47170,377,20220210,20220222,20220217,21228,2181.5625
SO47171,373,20220210,20220222,20220217,21552,2181.5625
SO47172,352,20220210,20220222,20220217,12668,2071.4196
SO47173,356,20220210,20220222,20220217,12675,2071.4196
SO47174,354,20220210,20220222,20220217,12584,2071.4196
SO47175,368,20220210,20220222,20220217,13812,2443.35
SO47176,358,20220211,20220223,20220218,11492,2049.0982
SO47177,381,20220211,20220223,20220218,14022,1000.4375
SO47178,383,20220211,20220223,20220218,14026,1000.4375
SO47179,377,20220211,20220223,20220218,28848,2181.5625
SO47180,370,20220211,20220223,20220218,13287,2443.35
SO47181,368,20220211,20220223,20220218,13329,2443.35
SO47182,354,20220211,20220223,20220218,26298,2071.4196
SO47183,335,20220211,20220223,20220218,15200,782.99
SO47184,379,20220211,20220223,20220218,21380,2181.5625
SO47185,356,20220211,20220223,20220218,12133,2071.4196
SO47186,371,20220212,20220224,20220219,13806,2181.5625
SO47187,385,20220212,20220224,20220219,18134,1000.4375
SO47188,389,20220212,20220224,20220219,19253,1000.4375
SO47189,373,20220212,20220224,20220219,28818,2181.5625
SO47190,369,20220212,20220224,20220219,25892,2443.35
SO47191,379,20220212,20220224,20220219,13382,2181.5625
SO47192,371,20220212,20220224,20220219,16328,2181.5625
SO47193,329,20220212,20220224,20220219,20162,782.99
SO47194,377,20220212,20220224,20220219,13269,2181.5625
SO47195,371,20220212,20220224,20220219,13355,2181.5625
SO47196,362,20220212,20220224,20220219,26286,2049.0982
SO47197,377,20220212,20220224,20220219,21218,2181.5625
SO47198,370,20220213,20220225,20220220,14169,2443.35
SO47199,323,20220213,20220225,20220220,20051,782.99
SO47200,373,20220213,20220225,20220220,13247,2181.5625
SO47201,356,20220213,20220225,20220220,26277,2071.4196
SO47202,356,20220213,20220225,20220220,26285,2071.4196
SO47203,370,20220214,20220226,20220221,25883,2443.35
SO47204,377,20220214,20220226,20220221,25371,2181.5625
SO47205,352,20220214,20220226,20220221,26301,2071.4196
SO47206,333,20220214,20220226,20220221,15256,782.99
SO47207,337,20220214,20220226,20220221,27043,782.99
SO47208,369,20220214,20220226,20220221,21359,2443.35
SO47209,370,20220214,20220226,20220221,21379,2443.35
SO47210,389,20220214,20220226,20220221,24609,1000.4375
SO47211,362,20220214,20220226,20220221,12578,2049.0982
SO47212,360,20220214,20220226,20220221,12580,2049.0982
SO47213,377,20220215,20220227,20220222,16287,2181.5625
SO47214,389,20220215,20220227,20220222,19195,1000.4375
SO47215,368,20220215,20220227,20220222,28836,2443.35
SO47216,360,20220215,20220227,20220222,26299,2049.0982
SO47217,375,20220215,20220227,20220222,21222,2181.5625
SO47218,369,20220215,20220227,20220222,21361,2443.35
SO47219,362,20220215,20220227,20220222,12577,2049.0982
SO47220,358,20220215,20220227,20220222,12579,2049.0982
SO47221,370,20220216,20220228,20220223,13823,2443.35
SO47222,381,20220216,20220228,20220223,26316,1000.4375
SO47223,370,20220216,20220228,20220223,25875,2443.35
SO47224,369,20220216,20220228,20220223,15659,2443.35
SO47225,375,20220216,20220228,20220223,13277,2181.5625
SO47226,368,20220216,20220228,20220223,13314,2443.35
SO47227,375,20220216,20220228,20220223,25288,2181.5625
SO47228,375,20220216,20220228,20220223,13237,2181.5625
SO47229,358,20220216,20220228,20220223,26295,2049.0982
SO47230,371,20220216,20220228,20220223,21256,2181.5625
SO47231,362,20220216,20220228,20220223,11564,2049.0982
SO47232,373,20220217,20220228,20220224,15627,2181.5625
SO47233,379,20220217,20220228,20220224,16250,2181.5625
SO47234,389,20220217,20220228,20220224,19260,1000.4375
SO47235,375,20220217,20220228,20220224,16317,2181.5625
SO47236,385,20220217,20220228,20220224,14023,1000.4375
SO47237,368,20220217,20220228,20220224,28834,2443.35
SO47238,370,20220217,20220228,20220224,16405,2443.35
SO47239,371,20220217,20220228,20220224,21384,2181.5625
SO47240,381,20220217,20220228,20220224,24612,1000.4375
SO47241,368,20220217,20220228,20220224,21559,2443.35
SO47242,362,20220217,20220228,20220224,28540,2049.0982
SO47243,339,20220217,20220228,20220224,20712,782.99
SO47244,385,20220218,20220301,20220225,19193,1000.4375
SO47245,375,20220218,20220301,20220225,16420,2181.5625
SO47246,343,20220218,20220301,20220225,20713,782.99
SO47247,371,20220218,20220301,20220225,13292,2181.5625
SO47248,375,20220218,20220301,20220225,13340,2181.5625
SO47249,377,20220218,20220301,20220225,13346,2181.5625
SO47250,379,20220218,20220301,20220225,21217,2181.5625
SO47251,377,20220218,20220301,20220225,21226,2181.5625
SO47252,352,20220218,20220301,20220225,12676,2071.4196
SO47253,356,20220218,20220301,20220225,12683,2071.4196
SO47254,333,20220219,20220302,20220226,15276,782.99
SO47255,358,20220219,20220302,20220226,11561,2049.0982
SO47256,373,20220219,20220302,20220226,16417,2181.5625
SO47257,368,20220219,20220302,20220226,14141,2443.35
SO47258,377,20220219,20220302,20220226,13298,2181.5625
SO47259,375,20220219,20220302,20220226,13351,2181.5625
SO47260,375,20220219,20220302,20220226,13233,2181.5625
SO47261,362,20220219,20220302,20220226,26305,2049.0982
SO47262,379,20220219,20220302,20220226,21560,2181.5625
SO47263,358,20220219,20220302,20220226,12589,2049.0982
SO47264,368,20220220,20220303,20220227,16410,2443.35
SO47265,375,20220220,20220303,20220227,13250,2181.5625
SO47266,377,20220220,20220303,20220227,21555,2181.5625
SO47267,352,20220220,20220303,20220227,12674,2071.4196
SO47268,375,20220220,20220303,20220227,21402,2181.5625
SO47269,362,20220221,20220304,20220228,28512,2049.0982
SO47270,360,20220221,20220304,20220228,28519,2049.0982
SO47271,381,20220221,20220304,20220228,18140,1000.4375
SO47272,371,20220221,20220304,20220228,29013,2181.5625
SO47273,368,20220221,20220304,20220228,13420,2443.35
SO47274,370,20220221,20220304,20220228,16407,2443.35
SO47275,339,20220221,20220304,20220228,19076,782.99
SO47276,343,20220221,20220304,20220228,15289,782.99
SO47277,371,20220221,20220304,20220228,21219,2181.5625
SO47278,379,20220221,20220304,20220228,21404,2181.5625
SO47279,362,20220221,20220304,20220228,12680,2049.0982
SO47280,352,20220222,20220305,20220228,11615,2071.4196
SO47281,389,20220222,20220305,20220228,17099,1000.4375
SO47282,381,20220222,20220305,20220228,19258,1000.4375
SO47283,373,20220222,20220305,20220228,15655,2181.5625
SO47284,368,20220222,20220305,20220228,13402,2443.35
SO47285,373,20220222,20220305,20220228,29135,2181.5625
SO47286,329,20220222,20220305,20220228,19944,782.99
SO47287,375,20220222,20220305,20220228,13280,2181.5625
SO47288,373,20220222,20220305,20220228,13353,2181.5625
SO47289,360,20220222,20220305,20220228,26297,2049.0982
SO47290,368,20220222,20220305,20220228,21558,2443.35
SO47291,371,20220223,20220306,20220301,16318,2181.5625
SO47292,379,20220223,20220306,20220301,13811,2181.5625
SO47293,385,20220223,20220306,20220301,19192,1000.4375
SO47294,383,20220223,20220306,20220301,18139,1000.4375
SO47295,387,20220223,20220306,20220301,14005,1000.4375
SO47296,385,20220223,20220306,20220301,14024,1000.4375
SO47297,377,20220223,20220306,20220301,13385,2181.5625
SO47298,371,20220223,20220306,20220301,13403,2181.5625
SO47299,369,20220223,20220306,20220301,13425,2443.35
SO47300,337,20220223,20220306,20220301,20717,782.99
SO47301,358,20220223,20220306,20220301,26292,2049.0982
SO47302,360,20220223,20220306,20220301,12670,2049.0982
SO47303,323,20220223,20220306,20220301,26029,782.99
SO47304,379,20220224,20220307,20220302,16272,2181.5625
SO47305,369,20220224,20220307,20220302,25393,2443.35
SO47306,369,20220224,20220307,20220302,28798,2443.35
SO47307,335,20220224,20220307,20220302,20711,782.99
SO47308,327,20220224,20220307,20220302,20718,782.99
SO47309,377,20220224,20220307,20220302,13316,2181.5625
SO47310,354,20220224,20220307,20220302,26303,2071.4196
SO47311,333,20220224,20220307,20220302,15252,782.99
SO47312,333,20220224,20220307,20220302,15280,782.99
SO47313,373,20220224,20220307,20220302,21231,2181.5625
SO47314,362,20220224,20220307,20220302,12673,2049.0982
SO47315,379,20220225,20220308,20220303,13840,2181.5625
SO47316,369,20220225,20220308,20220303,13361,2443.35
SO47317,379,20220225,20220308,20220303,14154,2181.5625
SO47318,375,20220225,20220308,20220303,13273,2181.5625
SO47319,370,20220225,20220308,20220303,13299,2443.35
SO47320,377,20220225,20220308,20220303,13315,2181.5625
SO47321,373,20220225,20220308,20220303,13354,2181.5625
SO47322,343,20220225,20220308,20220303,15287,782.99
SO47323,362,20220226,20220309,20220304,28529,2049.0982
SO47324,377,20220226,20220309,20220304,13400,2181.5625
SO47325,373,20220226,20220309,20220304,13278,2181.5625
SO47326,379,20220226,20220309,20220304,13288,2181.5625
SO47327,377,20220226,20220309,20220304,13304,2181.5625
SO47328,360,20220226,20220309,20220304,12681,2049.0982
SO47329,379,20220227,20220310,20220305,13367,2181.5625
SO47330,369,20220227,20220310,20220305,16324,2443.35
SO47331,333,20220227,20220310,20220305,20807,782.99
SO47332,356,20220227,20220310,20220305,20350,2071.4196
SO47333,368,20220227,20220310,20220305,21229,2443.35
SO47334,369,20220227,20220310,20220305,21557,2443.35
SO47335,356,20220227,20220310,20220305,12581,2071.4196
SO47336,339,20220227,20220310,20220305,26027,782.99
SO47337,354,20220228,20220311,20220306,28520,2071.4196
SO47338,373,20220228,20220311,20220306,16277,2181.5625
SO47339,371,20220228,20220311,20220306,15626,2181.5625
SO47340,369,20220228,20220311,20220306,13401,2443.35
SO47341,368,20220228,20220311,20220306,25104,2443.35
SO47342,360,20220228,20220311,20220306,26304,2049.0982
